,CustomerID,R,RC,F,FC,M,MC,Score,Segment
0,17850,69,3,312,1,5288.630000000009,0,4,Medium
1,13047,47,3,196,1,3079.1000000000013,0,4,Medium
2,12583,0,3,251,1,7187.339999999993,0,4,Medium
3,14688,0,3,359,1,5107.379999999999,0,4,Medium
4,12431,2,3,240,1,6416.389999999999,0,4,Medium
5,13448,17,3,199,1,3465.6700000000023,0,4,Medium
6,17920,12,3,696,1,4204.0999999999885,0,4,Medium
7,14849,2,3,392,1,7904.279999999997,0,4,Medium
8,17377,24,3,419,1,3925.919999999996,0,4,Medium
9,12662,23,3,232,1,3817.079999999998,0,4,Medium
10,12472,52,3,391,1,6229.480000000004,0,4,Medium
11,17346,0,3,503,1,2611.58,0,4,Medium
12,13468,0,3,306,1,5656.750000000002,0,4,Medium
13,16928,32,3,213,1,2781.499999999998,0,4,Medium
14,17690,46,3,258,1,4748.450000000001,0,4,Medium
15,14092,24,3,217,1,4063.100000000003,0,4,Medium
16,15752,40,3,412,1,2628.9300000000026,0,4,Medium
17,15601,12,3,414,1,6745.359999999997,0,4,Medium
18,13418,12,3,314,1,5845.439999999999,0,4,Medium
19,14388,11,3,191,1,3172.040000000002,0,4,Medium
20,18041,12,3,474,1,4161.139999999996,0,4,Medium
21,14390,5,3,291,1,4592.470000000003,0,4,Medium
22,14060,23,3,203,1,6135.379999999998,0,4,Medium
23,15544,2,3,261,1,3542.5099999999948,0,4,Medium
24,14180,11,3,248,1,4640.769999999999,0,4,Medium
25,14449,19,3,258,1,907.0999999999999,0,4,Medium
26,16186,5,3,219,1,3991.9400000000032,0,4,Medium
27,17228,16,3,208,1,1906.0900000000015,0,4,Medium
28,15834,71,3,276,1,2084.900000000002,0,4,Medium
29,17757,14,3,742,1,5585.4899999999925,0,4,Medium
30,14395,46,3,353,1,3471.9100000000008,0,4,Medium
31,17961,1,3,249,1,1296.4400000000012,0,4,Medium
32,14573,35,3,241,1,1603.7200000000014,0,4,Medium
33,18225,22,3,286,1,5361.02,0,4,Medium
34,12841,4,3,439,1,3876.399999999998,0,4,Medium
35,16905,20,3,209,1,3085.4799999999996,0,4,Medium
36,13013,3,3,222,1,4786.990000000001,0,4,Medium
37,14723,11,3,278,1,1158.3,0,4,Medium
38,17238,18,3,566,1,3744.65,0,4,Medium
39,15708,41,3,297,1,3329.719999999999,0,4,Medium
40,15351,13,3,233,1,1862.140000000001,0,4,Medium
41,18055,40,3,363,1,6752.14,0,4,Medium
42,18109,4,3,454,1,7925.319999999997,0,4,Medium
43,13069,2,3,470,1,3717.819999999998,0,4,Medium
44,16241,0,3,662,1,2607.8700000000067,0,4,Medium
45,14800,30,3,392,1,4236.339999999998,0,4,Medium
46,16814,6,3,325,1,6500.600000000003,0,4,Medium
47,13269,1,3,320,1,5315.919999999999,0,4,Medium
48,14810,41,3,255,1,2087.879999999999,0,4,Medium
49,17059,60,3,516,1,3095.0399999999995,0,4,Medium
50,16327,15,3,319,1,3844.22,0,4,Medium
51,17211,4,3,213,1,2299.670000000001,0,4,Medium
52,15570,11,3,330,1,4109.97,0,4,Medium
53,17858,2,3,199,1,5155.659999999998,0,4,Medium
54,16393,12,3,358,1,2941.0500000000025,0,4,Medium
55,15023,40,3,563,1,6763.15999999999,0,4,Medium
56,15426,20,3,300,1,1429.9,0,4,Medium
57,15867,23,3,463,1,3797.7899999999986,0,4,Medium
58,14506,18,3,316,1,2012.1700000000012,0,4,Medium
59,12720,3,3,359,1,5713.2800000000025,0,4,Medium
60,15502,16,3,252,1,5541.459999999999,0,4,Medium
61,17965,9,3,329,1,2622.569999999998,0,4,Medium
62,13174,17,3,314,1,2817.0300000000007,0,4,Medium
63,16161,15,3,502,1,5352.969999999997,0,4,Medium
64,14189,10,3,277,1,4604.3099999999995,0,4,Medium
65,12474,3,3,457,1,7116.47,0,4,Medium
66,16719,15,3,203,1,1773.9200000000008,0,4,Medium
67,15301,51,3,247,1,5028.119999999999,0,4,Medium
68,17596,24,3,270,1,2827.929999999999,0,4,Medium
69,14085,10,3,451,1,4435.789999999997,0,4,Medium
70,16919,6,3,327,1,2596.4499999999994,0,4,Medium
71,17019,12,3,234,1,1272.6100000000013,0,4,Medium
72,16722,18,3,228,1,4711.21,0,4,Medium
73,16710,20,3,402,1,2483.04,0,4,Medium
